idx,prompt,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
0,P1_zero_shot,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,entailment,Entailment,52,3,55,0.0001599999999999
1,P1_zero_shot,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,contradiction,61,3,64,0.0001825
2,P1_zero_shot,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,neutral,Neutral,59,1,60,0.0001575
3,P1_zero_shot,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,neutral,Neutral,58,1,59,0.000155
4,P1_zero_shot,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,Neutral,79,1,80,0.0002075
5,P1_zero_shot,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,neutral,neutral,113,1,114,0.0002925
6,P1_zero_shot,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,contradiction,86,3,89,0.000245
7,P1_zero_shot,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,neutral,neutral,87,1,88,0.0002275
8,P1_zero_shot,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,Neutral,64,1,65,0.00017
9,P1_zero_shot,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,Contradiction,101,3,104,0.0002825
