idx,prompt,model,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
0,P1_zero_shot,claude_sonnet,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,entailment,entailment,59,6,65,0.000267
1,P1_zero_shot,claude_sonnet,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,contradiction,67,4,71,0.000261
2,P1_zero_shot,claude_sonnet,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,entailment,entailment,67,6,73,0.000291
3,P1_zero_shot,claude_sonnet,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,neutral,neutral,65,4,69,0.000255
4,P1_zero_shot,claude_sonnet,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,neutral,87,4,91,0.000321
5,P1_zero_shot,claude_sonnet,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,neutral,neutral,122,4,126,0.000426
6,P1_zero_shot,claude_sonnet,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,contradiction,94,4,98,0.000342
7,P1_zero_shot,claude_sonnet,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,neutral,neutral,98,4,102,0.000354
8,P1_zero_shot,claude_sonnet,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,neutral,69,4,73,0.000267
9,P1_zero_shot,claude_sonnet,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,contradiction,113,4,117,0.000399
10,P1_zero_shot,claude_sonnet,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,entailment,entailment,77,6,83,0.000321
11,P1_zero_shot,claude_sonnet,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,neutral,neutral,87,4,91,0.000321
12,P1_zero_shot,claude_sonnet,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,contradiction,contradiction,91,4,95,0.000333
13,P1_zero_shot,claude_sonnet,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,contradiction,63,4,67,0.000249
14,P1_zero_shot,claude_sonnet,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,neutral,neutral,87,4,91,0.000321
15,P1_zero_shot,claude_sonnet,matched,"The pope, suggesting that Gen.",Gen is not being suggested in any way.,slate,contradiction,contradiction,contradiction,59,4,63,0.000237
16,P1_zero_shot,claude_sonnet,matched,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",This site is a special portal for people who wish to make anonymous complaints about auditors.,government,contradiction,contradiction,contradiction,91,4,95,0.000333
17,P1_zero_shot,claude_sonnet,matched,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is the island's governmental and financial centre. ,travel,entailment,entailment,entailment,85,6,91,0.000345
18,P1_zero_shot,claude_sonnet,matched,"I don't know what I would have done without Legal Services, said James. ",James said Legal Services was of no help.,government,contradiction,contradiction,contradiction,69,4,73,0.000267
19,P1_zero_shot,claude_sonnet,matched,"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",Hiking trail maps can be obtained at the Government Publications Center.,travel,entailment,entailment,entailment,86,6,92,0.000348
20,P1_zero_shot,claude_sonnet,matched,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is a laid-back, quiet, and peaceful city.",travel,entailment,entailment,entailment,83,6,89,0.000339
21,P1_zero_shot,claude_sonnet,matched,was it bad,Was it not good?,telephone,entailment,entailment,entailment,51,6,57,0.000243
22,P1_zero_shot,claude_sonnet,matched,Egg cattle merry wedged marvelous,The cattle were merry.,fiction,entailment,neutral,neutral,59,4,63,0.000237
23,P1_zero_shot,claude_sonnet,matched,That's the second time you've made that sort of remark.,That's the second time you've made that sort of remark and I don't need anymore reminders.,fiction,neutral,neutral,neutral,79,4,83,0.000297
24,P1_zero_shot,claude_sonnet,matched,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The restorations done to the structure is very promising.,travel,neutral,neutral,neutral,76,4,80,0.000288
25,P1_zero_shot,claude_sonnet,matched,Each of them was as tough as a thick tree and loyal to the death.,None of them were loyal to anything.,fiction,contradiction,contradiction,contradiction,67,4,71,0.000261
26,P1_zero_shot,claude_sonnet,matched,he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to,The plot was boring because he was a bad actor.  ,telephone,neutral,neutral,neutral,95,4,99,0.000345
27,P1_zero_shot,claude_sonnet,matched,Nowadays it is bordered by ancient columns and lined with expensive shops.,The shops have only been around for the last fifty years.,travel,neutral,neutral,neutral,69,4,73,0.000267
28,P1_zero_shot,claude_sonnet,matched,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece inside reporting ,slate,entailment,entailment,entailment,92,6,98,0.000366
29,P1_zero_shot,claude_sonnet,matched,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,Even if they say its more positive than what it seems we will have to go to a counseling session. ,telephone,entailment,entailment,entailment,101,6,107,0.000393
30,P1_zero_shot,claude_sonnet,matched,She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.,She shaved her head.,fiction,contradiction,contradiction,contradiction,74,4,78,0.000282
31,P1_zero_shot,claude_sonnet,matched,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,fiction,entailment,entailment,entailment,67,6,73,0.000291
32,P1_zero_shot,claude_sonnet,matched,The best beach in Europe ' at least that's the verdict of its regulars.,Regular beachgoers say that it is the best in Europe.,travel,entailment,entailment,entailment,74,6,80,0.000312
33,P1_zero_shot,claude_sonnet,matched,"To check this, the central bank has tripled interest rates and used hard currency reserves (now reduced to $10 billion in ready cash) to buy back rubles.",The bank doubled interest rates as a way of checking this.,slate,contradiction,contradiction,contradiction,90,4,94,0.00033
34,P1_zero_shot,claude_sonnet,matched,Don't miss the open-air market close by the wharves.,The open-air market near the wharves can't be missed.,travel,entailment,entailment,entailment,73,6,79,0.000309
