idx,hybrid,threshold,set,premise,hypothesis,genre,label_true,label_pred,source,enc_conf,tokens,cost_usd
0,v3_deberta_gpt4o_32shot,0.95,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,entailment,encoder,0.9971055388450624,0,0.0
1,v3_deberta_gpt4o_32shot,0.95,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,encoder,0.9997735619544984,0,0.0
2,v3_deberta_gpt4o_32shot,0.95,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,entailment,api,0.9218151569366456,1608,0.0040425
3,v3_deberta_gpt4o_32shot,0.95,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,neutral,encoder,0.9996541738510132,0,0.0
4,v3_deberta_gpt4o_32shot,0.95,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,encoder,0.9997678399086,0,0.0
5,v3_deberta_gpt4o_32shot,0.95,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,neutral,encoder,0.9995346069335938,0,0.0
6,v3_deberta_gpt4o_32shot,0.95,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,encoder,0.9999500513076782,0,0.0
7,v3_deberta_gpt4o_32shot,0.95,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,neutral,api,0.9482281804084778,1634,0.0040925
8,v3_deberta_gpt4o_32shot,0.95,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,encoder,0.9996908903121948,0,0.0
9,v3_deberta_gpt4o_32shot,0.95,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,encoder,0.9998842477798462,0,0.0
10,v3_deberta_gpt4o_32shot,0.95,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,neutral,api,0.9176504611968994,1619,0.004055
11,v3_deberta_gpt4o_32shot,0.95,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,neutral,encoder,0.9998226761817932,0,0.0
12,v3_deberta_gpt4o_32shot,0.95,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,contradiction,encoder,0.9840756058692932,0,0.0
13,v3_deberta_gpt4o_32shot,0.95,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,encoder,0.9999490976333618,0,0.0
14,v3_deberta_gpt4o_32shot,0.95,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,contradiction,encoder,0.9936296343803406,0,0.0
15,v3_deberta_gpt4o_32shot,0.95,matched,"The pope, suggesting that Gen.",Gen is not being suggested in any way.,slate,contradiction,contradiction,encoder,0.9999715089797974,0,0.0
16,v3_deberta_gpt4o_32shot,0.95,matched,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",This site is a special portal for people who wish to make anonymous complaints about auditors.,government,contradiction,contradiction,encoder,0.9994439482688904,0,0.0
17,v3_deberta_gpt4o_32shot,0.95,matched,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is the island's governmental and financial centre. ,travel,entailment,entailment,encoder,0.997552454471588,0,0.0
18,v3_deberta_gpt4o_32shot,0.95,matched,"I don't know what I would have done without Legal Services, said James. ",James said Legal Services was of no help.,government,contradiction,contradiction,encoder,0.999835729598999,0,0.0
19,v3_deberta_gpt4o_32shot,0.95,matched,"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",Hiking trail maps can be obtained at the Government Publications Center.,travel,entailment,entailment,encoder,0.9985666871070862,0,0.0
20,v3_deberta_gpt4o_32shot,0.95,matched,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is a laid-back, quiet, and peaceful city.",travel,entailment,entailment,encoder,0.9976075887680054,0,0.0
21,v3_deberta_gpt4o_32shot,0.95,matched,was it bad,Was it not good?,telephone,entailment,entailment,encoder,0.9881792068481444,0,0.0
22,v3_deberta_gpt4o_32shot,0.95,matched,Egg cattle merry wedged marvelous,The cattle were merry.,fiction,entailment,entailment,encoder,0.9871630072593688,0,0.0
23,v3_deberta_gpt4o_32shot,0.95,matched,That's the second time you've made that sort of remark.,That's the second time you've made that sort of remark and I don't need anymore reminders.,fiction,neutral,neutral,encoder,0.9990744590759276,0,0.0
24,v3_deberta_gpt4o_32shot,0.95,matched,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The restorations done to the structure is very promising.,travel,neutral,neutral,encoder,0.9993268251419068,0,0.0
25,v3_deberta_gpt4o_32shot,0.95,matched,Each of them was as tough as a thick tree and loyal to the death.,None of them were loyal to anything.,fiction,contradiction,contradiction,encoder,0.9999710321426392,0,0.0
26,v3_deberta_gpt4o_32shot,0.95,matched,he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to,The plot was boring because he was a bad actor.  ,telephone,neutral,neutral,encoder,0.9991676807403564,0,0.0
27,v3_deberta_gpt4o_32shot,0.95,matched,Nowadays it is bordered by ancient columns and lined with expensive shops.,The shops have only been around for the last fifty years.,travel,neutral,neutral,encoder,0.9996340274810792,0,0.0
28,v3_deberta_gpt4o_32shot,0.95,matched,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece inside reporting ,slate,entailment,entailment,encoder,0.9958866238594056,0,0.0
29,v3_deberta_gpt4o_32shot,0.95,matched,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,Even if they say its more positive than what it seems we will have to go to a counseling session. ,telephone,entailment,entailment,encoder,0.9966609477996826,0,0.0
30,v3_deberta_gpt4o_32shot,0.95,matched,She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.,She shaved her head.,fiction,contradiction,contradiction,encoder,0.9998681545257568,0,0.0
31,v3_deberta_gpt4o_32shot,0.95,matched,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,fiction,entailment,entailment,encoder,0.9982526898384094,0,0.0
32,v3_deberta_gpt4o_32shot,0.95,matched,The best beach in Europe ' at least that's the verdict of its regulars.,Regular beachgoers say that it is the best in Europe.,travel,entailment,entailment,encoder,0.9982477426528932,0,0.0
33,v3_deberta_gpt4o_32shot,0.95,matched,"To check this, the central bank has tripled interest rates and used hard currency reserves (now reduced to $10 billion in ready cash) to buy back rubles.",The bank doubled interest rates as a way of checking this.,slate,contradiction,contradiction,encoder,0.9998897314071656,0,0.0
34,v3_deberta_gpt4o_32shot,0.95,matched,Don't miss the open-air market close by the wharves.,The open-air market near the wharves can't be missed.,travel,entailment,entailment,encoder,0.989627480506897,0,0.0
35,v3_deberta_gpt4o_32shot,0.95,matched,'I see.',I saw it.,fiction,entailment,entailment,encoder,0.9915139079093932,0,0.0
36,v3_deberta_gpt4o_32shot,0.95,matched,"My last afternoon in Louisian was supposed to be no different- but the hotel room was small and claustrophobic, and I was utterly bored.",My last day in Louisian was very exciting.,fiction,contradiction,contradiction,encoder,0.9997155070304872,0,0.0
37,v3_deberta_gpt4o_32shot,0.95,matched,and the wind started blowing and it was one of my earlier trips to be really out in the middle of,I was glad that the wind was calm.,telephone,contradiction,contradiction,encoder,0.9993159770965576,0,0.0
38,v3_deberta_gpt4o_32shot,0.95,matched,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. ",The doctor could only help us through the Coroner.,fiction,neutral,neutral,encoder,0.9929713606834412,0,0.0
39,v3_deberta_gpt4o_32shot,0.95,matched,Drinks are available and expensive.,Drinks cost a lot.,travel,entailment,entailment,encoder,0.9950408339500428,0,0.0
40,v3_deberta_gpt4o_32shot,0.95,matched,I was to watch for an advertisement in the Times.,I was anticipating an ad in the newspaper. ,fiction,entailment,entailment,encoder,0.9975674152374268,0,0.0
41,v3_deberta_gpt4o_32shot,0.95,matched,"They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.",They said that the old system reflects that diversity,government,contradiction,contradiction,encoder,0.9949164390563964,0,0.0
42,v3_deberta_gpt4o_32shot,0.95,matched,"Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.",Most Americans want to see major changes in the health-care system.,slate,entailment,neutral,encoder,0.9995174407958984,0,0.0
43,v3_deberta_gpt4o_32shot,0.95,matched,"The Saving Mystery, or Where Did the Money Go?",The money was spent.,government,neutral,neutral,encoder,0.9755129814147948,0,0.0
44,v3_deberta_gpt4o_32shot,0.95,matched,yeah okay you go ahead,"No, do not go ahead.",telephone,contradiction,contradiction,encoder,0.9999808073043824,0,0.0
45,v3_deberta_gpt4o_32shot,0.95,matched,so i really i really don't have heart burn at all with doing it myself over four nights tie i tied the car up if four days but we're fortunate we didn't need it,I think I should do it from now on to deal with my heartburn issues.,telephone,neutral,neutral,api,0.5437759160995483,1637,0.0041
46,v3_deberta_gpt4o_32shot,0.95,matched,well that's right because uh one day it'll be eighty and the next day it'll be about thirty below i tell you what and uh,"Eventually the temperature will reach eighty and then thirty below zero, it fluctuates.",telephone,entailment,entailment,encoder,0.9914019703865052,0,0.0
47,v3_deberta_gpt4o_32shot,0.95,matched,i think we have too thank you very much you too bye-bye,I don't think we can thank you enough for your help.,telephone,neutral,neutral,encoder,0.997848391532898,0,0.0
48,v3_deberta_gpt4o_32shot,0.95,matched,"The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.",The US market was not ready for the cane plantations.,travel,contradiction,contradiction,encoder,0.9994555115699768,0,0.0
49,v3_deberta_gpt4o_32shot,0.95,matched,"There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.",The village has a restaurant.,travel,entailment,entailment,encoder,0.9984422326087952,0,0.0
50,v3_deberta_gpt4o_32shot,0.95,matched,but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head,It might take a long time to do that because getting inside a person's head takes time.,telephone,neutral,neutral,encoder,0.9911393523216248,0,0.0
51,v3_deberta_gpt4o_32shot,0.95,matched,"A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.","Eventually, the besieging soldiers had to give up and go home.",travel,neutral,neutral,encoder,0.9995115995407104,0,0.0
52,v3_deberta_gpt4o_32shot,0.95,matched,i've even heard of some people being sexually abused,Some people are sexually abused.,telephone,entailment,entailment,encoder,0.995198667049408,0,0.0
