idx,threshold,set,source,label_true,label_pred,cost_usd,tokens,genre
0,0.85,matched,encoder,entailment,entailment,0.0,0,slate
1,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
2,0.85,matched,api,entailment,entailment,0.0003425,128,fiction
3,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
4,0.85,matched,encoder,neutral,neutral,0.0,0,travel
5,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
6,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
7,0.85,matched,encoder,entailment,entailment,0.0,0,slate
8,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
9,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
10,0.85,matched,encoder,entailment,neutral,0.0,0,government
11,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
12,0.85,matched,api,contradiction,contradiction,0.000405,153,slate
13,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
14,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
15,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
16,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
17,0.85,matched,encoder,entailment,entailment,0.0,0,travel
18,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
19,0.85,matched,encoder,entailment,entailment,0.0,0,travel
20,0.85,matched,encoder,entailment,entailment,0.0,0,travel
21,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
22,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
23,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
24,0.85,matched,encoder,neutral,neutral,0.0,0,travel
25,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
26,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
27,0.85,matched,encoder,neutral,neutral,0.0,0,travel
28,0.85,matched,encoder,entailment,entailment,0.0,0,slate
29,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
30,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
31,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
32,0.85,matched,encoder,entailment,entailment,0.0,0,travel
33,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
34,0.85,matched,encoder,entailment,entailment,0.0,0,travel
35,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
36,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
37,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
38,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
39,0.85,matched,encoder,entailment,entailment,0.0,0,travel
40,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
41,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
42,0.85,matched,encoder,entailment,neutral,0.0,0,slate
43,0.85,matched,encoder,neutral,neutral,0.0,0,government
44,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
45,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
46,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
47,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
48,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
49,0.85,matched,encoder,entailment,entailment,0.0,0,travel
50,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
51,0.85,matched,encoder,neutral,neutral,0.0,0,travel
52,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
