idx,hybrid,set,premise,hypothesis,genre,label_true,label_pred,source,avg_conf,deb_preds,tokens,cost_usd
0,v5_ensemble_gate,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,entailment,ensemble,0.9973471562067668,entailment|entailment|entailment,0,0.0
1,v5_ensemble_gate,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,ensemble,0.9998634457588196,contradiction|contradiction|contradiction,0,0.0
2,v5_ensemble_gate,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,contradiction,api,0.8621454040209452,entailment|neutral|neutral,258,0.0012075
3,v5_ensemble_gate,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,neutral,ensemble,0.9995481173197428,neutral|neutral|neutral,0,0.0
4,v5_ensemble_gate,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,ensemble,0.999460736910502,neutral|neutral|neutral,0,0.0
5,v5_ensemble_gate,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,neutral,ensemble,0.9991290966669718,neutral|neutral|neutral,0,0.0
6,v5_ensemble_gate,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,ensemble,0.999863624572754,contradiction|contradiction|contradiction,0,0.0
7,v5_ensemble_gate,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,neutral,api,0.8496708075205485,neutral|neutral|entailment,303,0.0027749999999999997
8,v5_ensemble_gate,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,ensemble,0.9995407660802206,neutral|neutral|neutral,0,0.0
9,v5_ensemble_gate,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,ensemble,0.9997435013453164,contradiction|contradiction|contradiction,0,0.0
10,v5_ensemble_gate,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,neutral,api,0.9333600600560508,entailment|entailment|neutral,281,0.00263
11,v5_ensemble_gate,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,neutral,ensemble,0.9997157057126363,neutral|neutral|neutral,0,0.0
12,v5_ensemble_gate,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,contradiction,api,0.9079169034957886,entailment|contradiction|contradiction,321,0.00297
13,v5_ensemble_gate,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,ensemble,0.9999261697133384,contradiction|contradiction|contradiction,0,0.0
14,v5_ensemble_gate,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,contradiction,ensemble,0.9926079511642456,contradiction|contradiction|contradiction,0,0.0
15,v5_ensemble_gate,matched,"The pope, suggesting that Gen.",Gen is not being suggested in any way.,slate,contradiction,contradiction,ensemble,0.99966698884964,contradiction|contradiction|contradiction,0,0.0
16,v5_ensemble_gate,matched,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",This site is a special portal for people who wish to make anonymous complaints about auditors.,government,contradiction,contradiction,ensemble,0.99734095732371,contradiction|contradiction|contradiction,0,0.0
17,v5_ensemble_gate,matched,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is the island's governmental and financial centre. ,travel,entailment,entailment,ensemble,0.9971415797869364,entailment|entailment|entailment,0,0.0
18,v5_ensemble_gate,matched,"I don't know what I would have done without Legal Services, said James. ",James said Legal Services was of no help.,government,contradiction,contradiction,ensemble,0.9992833932240804,contradiction|contradiction|contradiction,0,0.0
19,v5_ensemble_gate,matched,"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",Hiking trail maps can be obtained at the Government Publications Center.,travel,entailment,entailment,ensemble,0.998680035273234,entailment|entailment|entailment,0,0.0
20,v5_ensemble_gate,matched,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is a laid-back, quiet, and peaceful city.",travel,entailment,entailment,ensemble,0.993060310681661,entailment|entailment|entailment,0,0.0
21,v5_ensemble_gate,matched,was it bad,Was it not good?,telephone,entailment,entailment,ensemble,0.9893737037976584,entailment|entailment|entailment,0,0.0
22,v5_ensemble_gate,matched,Egg cattle merry wedged marvelous,The cattle were merry.,fiction,entailment,entailment,ensemble,0.986662248770396,entailment|entailment|entailment,0,0.0
23,v5_ensemble_gate,matched,That's the second time you've made that sort of remark.,That's the second time you've made that sort of remark and I don't need anymore reminders.,fiction,neutral,neutral,ensemble,0.9993927081425984,neutral|neutral|neutral,0,0.0
24,v5_ensemble_gate,matched,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The restorations done to the structure is very promising.,travel,neutral,neutral,ensemble,0.9986718694368998,neutral|neutral|neutral,0,0.0
25,v5_ensemble_gate,matched,Each of them was as tough as a thick tree and loyal to the death.,None of them were loyal to anything.,fiction,contradiction,contradiction,ensemble,0.9998287359873452,contradiction|contradiction|contradiction,0,0.0
26,v5_ensemble_gate,matched,he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to,The plot was boring because he was a bad actor.  ,telephone,neutral,neutral,ensemble,0.9935030937194824,neutral|neutral|neutral,0,0.0
27,v5_ensemble_gate,matched,Nowadays it is bordered by ancient columns and lined with expensive shops.,The shops have only been around for the last fifty years.,travel,neutral,neutral,ensemble,0.9989582498868308,neutral|neutral|neutral,0,0.0
28,v5_ensemble_gate,matched,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece inside reporting ,slate,entailment,entailment,ensemble,0.99022775888443,entailment|entailment|entailment,0,0.0
29,v5_ensemble_gate,matched,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,Even if they say its more positive than what it seems we will have to go to a counseling session. ,telephone,entailment,entailment,ensemble,0.9974504311879476,entailment|entailment|entailment,0,0.0
30,v5_ensemble_gate,matched,She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.,She shaved her head.,fiction,contradiction,contradiction,ensemble,0.9998914003372192,contradiction|contradiction|contradiction,0,0.0
31,v5_ensemble_gate,matched,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,fiction,entailment,entailment,ensemble,0.9981300234794616,entailment|entailment|entailment,0,0.0
32,v5_ensemble_gate,matched,The best beach in Europe ' at least that's the verdict of its regulars.,Regular beachgoers say that it is the best in Europe.,travel,entailment,entailment,ensemble,0.9985984166463217,entailment|entailment|entailment,0,0.0
