idx,hybrid,threshold,set,premise,hypothesis,genre,label_true,label_pred,source,enc_conf,tokens,cost_usd
0,v3_deberta_gpt4o_32shot,0.85,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,entailment,encoder,0.9971055388450624,0,0.0
1,v3_deberta_gpt4o_32shot,0.85,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,encoder,0.9997735619544984,0,0.0
2,v3_deberta_gpt4o_32shot,0.85,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,neutral,encoder,0.9218151569366456,0,0.0
3,v3_deberta_gpt4o_32shot,0.85,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,neutral,encoder,0.9996541738510132,0,0.0
4,v3_deberta_gpt4o_32shot,0.85,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,encoder,0.9997678399086,0,0.0
5,v3_deberta_gpt4o_32shot,0.85,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,neutral,encoder,0.9995346069335938,0,0.0
6,v3_deberta_gpt4o_32shot,0.85,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,encoder,0.9999500513076782,0,0.0
7,v3_deberta_gpt4o_32shot,0.85,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,neutral,encoder,0.9482281804084778,0,0.0
8,v3_deberta_gpt4o_32shot,0.85,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,encoder,0.9996908903121948,0,0.0
9,v3_deberta_gpt4o_32shot,0.85,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,encoder,0.9998842477798462,0,0.0
10,v3_deberta_gpt4o_32shot,0.85,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,entailment,encoder,0.9176504611968994,0,0.0
11,v3_deberta_gpt4o_32shot,0.85,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,neutral,encoder,0.9998226761817932,0,0.0
12,v3_deberta_gpt4o_32shot,0.85,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,contradiction,encoder,0.9840756058692932,0,0.0
13,v3_deberta_gpt4o_32shot,0.85,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,encoder,0.9999490976333618,0,0.0
14,v3_deberta_gpt4o_32shot,0.85,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,contradiction,encoder,0.9936296343803406,0,0.0
