idx,prompt,model,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
0,P1_zero_shot,llama_3.3_70b,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,entailment,Entailment,83,4,87,0.0
1,P1_zero_shot,llama_3.3_70b,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,contradiction,90,4,94,0.0
2,P1_zero_shot,llama_3.3_70b,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,entailment,entailment,90,4,94,0.0
3,P1_zero_shot,llama_3.3_70b,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,entailment,Entailment,90,4,94,0.0
4,P1_zero_shot,llama_3.3_70b,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,Neutral.,108,3,111,0.0
5,P1_zero_shot,llama_3.3_70b,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,entailment,entailment,145,4,149,0.0
6,P1_zero_shot,llama_3.3_70b,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,contradiction,117,4,121,0.0
7,P1_zero_shot,llama_3.3_70b,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,entailment,entailment,118,4,122,0.0
8,P1_zero_shot,llama_3.3_70b,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,neutral,94,2,96,0.0
9,P1_zero_shot,llama_3.3_70b,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,contradiction,130,4,134,0.0
10,P1_zero_shot,llama_3.3_70b,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,entailment,Entailment.,101,5,106,0.0
11,P1_zero_shot,llama_3.3_70b,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,entailment,entailment,111,4,115,0.0
12,P1_zero_shot,llama_3.3_70b,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,contradiction,contradiction,111,4,115,0.0
13,P1_zero_shot,llama_3.3_70b,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,contradiction,87,4,91,0.0
14,P1_zero_shot,llama_3.3_70b,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,neutral,Neutral.,110,3,113,0.0
15,P1_zero_shot,llama_3.3_70b,matched,"The pope, suggesting that Gen.",Gen is not being suggested in any way.,slate,contradiction,contradiction,contradiction,83,4,87,0.0
16,P1_zero_shot,llama_3.3_70b,matched,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",This site is a special portal for people who wish to make anonymous complaints about auditors.,government,contradiction,contradiction,Contradiction.,115,5,120,0.0
17,P1_zero_shot,llama_3.3_70b,matched,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is the island's governmental and financial centre. ,travel,entailment,entailment,Entailment,107,4,111,0.0
18,P1_zero_shot,llama_3.3_70b,matched,"I don't know what I would have done without Legal Services, said James. ",James said Legal Services was of no help.,government,contradiction,contradiction,contradiction,93,4,97,0.0
19,P1_zero_shot,llama_3.3_70b,matched,"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",Hiking trail maps can be obtained at the Government Publications Center.,travel,entailment,entailment,Entailment,106,4,110,0.0
20,P1_zero_shot,llama_3.3_70b,matched,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is a laid-back, quiet, and peaceful city.",travel,entailment,entailment,Entailment,102,4,106,0.0
21,P1_zero_shot,llama_3.3_70b,matched,was it bad,Was it not good?,telephone,entailment,entailment,entailment,76,4,80,0.0
22,P1_zero_shot,llama_3.3_70b,matched,Egg cattle merry wedged marvelous,The cattle were merry.,fiction,entailment,entailment,entailment,79,4,83,0.0
23,P1_zero_shot,llama_3.3_70b,matched,That's the second time you've made that sort of remark.,That's the second time you've made that sort of remark and I don't need anymore reminders.,fiction,neutral,entailment,Entailment.,100,5,105,0.0
24,P1_zero_shot,llama_3.3_70b,matched,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The restorations done to the structure is very promising.,travel,neutral,entailment,Entailment.,100,5,105,0.0
25,P1_zero_shot,llama_3.3_70b,matched,Each of them was as tough as a thick tree and loyal to the death.,None of them were loyal to anything.,fiction,contradiction,contradiction,contradiction,91,4,95,0.0
