idx,prompt,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
0,P1_zero_shot,mismatched,"As it began, some of the hijackers-most likely Wail al Shehri and Waleed al Shehri, who were seated in row 2 in first class-stabbed the two unarmed flight attendants who would have been preparing for cabin service.",The hijackers were planning on attacking the nation.,nineeleven,neutral,neutral,Neutral,102,1,103,0.000265
1,P1_zero_shot,mismatched,"By 10:45 there was, however, another set of fighters circling Washington that had entirely different rules of engagement.",Reports of any fighters in the airspace over Washington on that day are incorrect. ,nineeleven,contradiction,contradiction,Contradiction,80,3,83,0.00023
2,P1_zero_shot,mismatched,"Under Boolean algebra , W has the  a set that is closed under the two commutative binary operations and that can be described by any of various systems of postulates all of which can be deduced from the postulates that an identity element exists for each operation, that each operation is distributive over the other, and that for every element in the set there is another element which when combined with the first under one of the operations yields the identity element of the other operation&lt;under the operations of taking intersections and unions, the subsets of a given set form a Boolean algebra","Boolean algebra is formed from the subsets of a given set, and under Boolean algebra certain sets are closed underneath two commutative binary options that are described by systems of postulates, which can be calculated from the postulates which identify elements that exist for each specific operation.",verbatim,entailment,entailment,Entailment,209,3,212,0.0005524999999999
3,P1_zero_shot,mismatched,"Center staff assists with the housing search, school decisions, drivers' licenses, leisure time activities, and daycare.","Assistance with housing searches, school decisions, driver's licensing and other matters are not  available from center staff.",letters,contradiction,contradiction,Contradiction,81,3,84,0.0002324999999999
4,P1_zero_shot,mismatched,The Command Center told Cleveland that FAA personnel well above them in the chain of command had to make the decision to seek military assistance and were working on the issue.,Cleveland did not believe what they were told by the .,nineeleven,neutral,neutral,Neutral,81,1,82,0.0002125
5,P1_zero_shot,mismatched,"The reasons are technical, arising from the way the software processed radar information, as well as from poor primary radar coverage where American 77 was flying.",The plane was not properly checked before takeoff.,nineeleven,neutral,neutral,Neutral,78,1,79,0.000205
6,P1_zero_shot,mismatched,Moscow declared it would pull its military forces out of Afghanistan within the next nine months.,Moscow declared it prudent to leave all military forces in Afghanistan.,nineeleven,contradiction,contradiction,Contradiction,67,3,70,0.0001975
7,P1_zero_shot,mismatched,Make-believe play is yet another.,Pretend play is yet another.,oup,entailment,entailment,Entailment,53,3,56,0.0001625
8,P1_zero_shot,mismatched,I'm going to do Education now.,I will be doing Education from now on. ,facetoface,entailment,entailment,Entailment,55,3,58,0.0001675
9,P1_zero_shot,mismatched,"However, even for a basic product like blue jeans, it is unlikely that all these assumptions will hold.",Assumptions rarely hold.,oup,entailment,neutral,Neutral,65,1,66,0.0001725
10,P1_zero_shot,mismatched,(Tries to insert a piece in the wrong place),They didn't try putting the piece in the wrong place.,oup,contradiction,contradiction,Contradiction,61,3,64,0.0001825
11,P1_zero_shot,mismatched,Only written or printed Chinese provides the glue to hold the Babel together.,"Only written or printed Chinese holds the Babel together, but the words are sometimes written in invisible ink.",verbatim,neutral,neutral,Neutral,72,1,73,0.00019
12,P1_zero_shot,mismatched,"A decade of conflict in Afghanistan, from 1979 to 1989, gave Islamist extremists a rallying point and training field.",There was a lot of conflict in Afghanistan which make Islamist extremists able to recruit millions.,nineeleven,neutral,neutral,Neutral,82,1,83,0.000215
13,P1_zero_shot,mismatched,That one time you were trying to take that floor joist.,"That time your were trying to take that floor joist, my brother was there too.",facetoface,neutral,neutral,Neutral,69,1,70,0.0001825
14,P1_zero_shot,mismatched,His generous contribution to dentistry in 1971 has helped twenty-five orthodontic students so far to meet educational expenses; and more students will receive scholarships this year.,"So far, twenty five orthodontic students have benefited from his contribution.",letters,entailment,entailment,Entailment,84,3,87,0.00024
15,P1_zero_shot,mismatched,Although I do enjoy Spring and March here.,"I wish winter would come already, spring is getting tiring.",facetoface,contradiction,contradiction,contradiction,59,3,62,0.0001775
16,P1_zero_shot,mismatched,"W follows the (useful) practice of listing a shortened pronunciation key on each right-hand page; L 's failure to do so is a disadvantage, notwithstanding the simplicity of their system, for the user must ferret about to find the description given on page xxii to clarify any question.","W has no pronunciation guide at all, while L provides one on every page.",verbatim,contradiction,contradiction,Contradiction,113,3,116,0.0003125
17,P1_zero_shot,mismatched,All were convinced that anything so compelling and engrossing in the life of the young child must be profoundly significant.,Everyone believed that anything so engulfing to a child must be very important.,oup,entailment,entailment,Entailment,75,3,78,0.0002175
18,P1_zero_shot,mismatched,"There is really no excuse, Fowler says (not he says!)",There's no excuse for how he acted.,verbatim,neutral,neutral,Neutral,59,1,60,0.0001575
19,P1_zero_shot,mismatched,"Beginning at 8:52, the controller made repeated attempts to reach the crew of United 175.",The controller had tried to reach the crew of United 175.,nineeleven,entailment,entailment,Entailment,72,3,75,0.00021
20,P1_zero_shot,mismatched,"And just as important, I invite you to renew your partnership with The Salvation Army by sending a contribution, once again, today.",Your donation to The Salvation Army is important. ,letters,entailment,entailment,Entailment,74,3,77,0.000215
21,P1_zero_shot,mismatched,"In British English it is no longer considered a solecism to use the plurals they, their, them, theirs as a generalized pronoun for words like eyeryone, everybody, anyone, anybody , etc.","It is still a grammatical mistake to use the plurals they, their, them, theirs as a generalized pronoun for words like eyeryone, everybody, anyone, anybody , etc.",verbatim,contradiction,contradiction,Contradiction,120,3,123,0.00033
22,P1_zero_shot,mismatched,Crisis managers at the FAA and the airlines did not yet act to warn other aircraft.,Other aircraft in flight had yet to be warned by the FAA.,nineeleven,entailment,entailment,Entailment,68,3,71,0.0002
23,P1_zero_shot,mismatched,"Woolf identified but did not describe  a woman's sentence  and, in the same text, wrote of women ancestors (for example, Shakespeare's putative sister) who was silent, silenced by a society dominated by men.",Shakespeare wrote about women's dominance in human society.,verbatim,contradiction,contradiction,Contradiction,93,3,96,0.0002625
24,P1_zero_shot,mismatched,They were armed and under NORAD's control.,They were going into the air blind and had to make decisions on their own.,nineeleven,contradiction,contradiction,Contradiction,64,3,67,0.00019
25,P1_zero_shot,mismatched,words = terms (synonym) perverse = flag for anagram anagram of `terms' = MSTER the first person = ADAM without = outside (!) ADAM outside MSTER = AMSTERDAM,"First person is ADAM without outside, second person is EVE. ",verbatim,neutral,neutral,neutral,96,1,97,0.00025
26,P1_zero_shot,mismatched,Concerns over the safety of other aircraft began to mount.,"The safety of the other aircraft was ensured, there were no concerns.",nineeleven,contradiction,contradiction,contradiction,64,3,67,0.00019
27,P1_zero_shot,mismatched,"Often, an entry offers nothing in the way of etymology and merely explains the meaning.",An entry merely explains the meaning and doesn't offer anything in the way of etymology.,verbatim,entailment,entailment,Entailment,75,3,78,0.0002175
28,P1_zero_shot,mismatched,I still read history.,I still read history books every month.,facetoface,neutral,neutral,Neutral,51,1,52,0.0001375
29,P1_zero_shot,mismatched,"In August 1996, Bin Ladin had issued his own self-styled fatwa calling on Muslims to drive American soldiers out of Saudi Arabia.",Bin Ladin urged that Americans be driven from Saudi Arabia.,nineeleven,entailment,entailment,Entailment,80,3,83,0.00023
30,P1_zero_shot,mismatched,He said he had not heard any prior discussion on the subject with the President.,The President was talking about other things to him.,nineeleven,neutral,neutral,Neutral,64,1,65,0.00017
31,P1_zero_shot,mismatched,"Instead, the Department established the Joint Forces Command, located at Norfolk, Virginia, making it responsible for military response to domestic emergencies, both natural and man-made.",The Department established the Joint Forces Command in Virginia to help the Army respond to hurricanes better.,nineeleven,entailment,neutral,Neutral,88,1,89,0.00023
32,P1_zero_shot,mismatched,The Concise Oxford allows both pronunciations.,The Concise Oxford only provides single word pronunciations.,verbatim,contradiction,contradiction,Contradiction,58,3,61,0.000175
33,P1_zero_shot,mismatched,Just how does imaginative play help children distinguish ideas from the enticing stimuli around them and use thought to guide behavior?,Does imaginative play help children form their own ideas?,oup,neutral,neutral,Neutral,70,1,71,0.000185
34,P1_zero_shot,mismatched,"OK, how about you Mom?","Mom, why are you not listening to me?",facetoface,neutral,neutral,Neutral,55,1,56,0.0001475
35,P1_zero_shot,mismatched,Let's get it right.,We have to do this correctly.,verbatim,entailment,entailment,Entailment,50,3,53,0.000155
36,P1_zero_shot,mismatched,"Essentially, random fluctuation in demand cannot be explained by trends, seasonality, cyclicality, or other factors like advertising and new product introduction.",Retailers would like to be able to explain every fluctuation in demand.,oup,neutral,neutral,Neutral,82,1,83,0.000215
37,P1_zero_shot,mismatched,"Yeah, it did because I know people from Charlotte now that went to like, not to slam Providence because I like a lot of those people, but they like have like so many like stereotypes of people because they don't know anybody.",The Providence is a great place to get steak.,facetoface,neutral,neutral,Neutral,94,1,95,0.000245
38,P1_zero_shot,mismatched,"We classify the SKUs into three  those with high demand (averaging 5,700 units a week) and low demand variation (Cv=0.6), those with medium demand (averaging 3,000 units a week) and medium demand variation (Cv=0.7), and those with low demand (averaging 1,300 units a week) and high demand variation (Cv= 1.3).","There is no possible way to classify SKUs, they only have one class.",oup,contradiction,contradiction,Contradiction,142,3,145,0.000385
39,P1_zero_shot,mismatched,"Older preschoolers realize that people's beliefs, not just their desires, aect their behavior.",Older preschoolers know people's beliefs affect their behavior when they are angry.,oup,neutral,neutral,Neutral,70,1,71,0.000185
40,P1_zero_shot,mismatched,"Chapters 13 through 15 examine the channel as a whole, from global, private-performance, and public-policy perspectives.",Private-performance is more heavily monitored than the others.,oup,neutral,neutral,Neutral,72,1,73,0.00019
41,P1_zero_shot,mismatched,"It ill behooves me, excoriated recently as enamored of the  cheap larf,  to criticize Safire's arch puns, which permeate' enliven  is probably the word his editor would use'his articles, but I find some kinds of humor unsuitable for reading, however they might evoke a chuckle when uttered viva voce .  A handful of examples, from the book at ","I think Safire's puns are humorous, but are more suited to the spoken word than text.",verbatim,entailment,entailment,Entailment,143,3,146,0.0003875
42,P1_zero_shot,mismatched,When are you going to that?,Are you going to that place after dinner time?,facetoface,neutral,neutral,Neutral,55,1,56,0.0001475
43,P1_zero_shot,mismatched,"Top-down  an apex of professors and doctors buttressed by the holders of college degrees (many of them lower-level administrators, teachers, and researchers within the system).",An apex of professors and doctors that hold college degrees. ,verbatim,entailment,neutral,Neutral,83,1,84,0.0002175
44,P1_zero_shot,mismatched,"So, what I am going to ask you is what was your philosophy behind that?","I do not want to discuss that with you, ever. ",facetoface,contradiction,neutral,Neutral,68,1,69,0.00018
45,P1_zero_shot,mismatched,"Of course it can't be published because all those things are copyrighted, but my mother made up the story and I thought it was very nice and I still have it, uh, handwritten, uh, in our file here.",My mother wanted to publish it before finding out it is copyrighted.,facetoface,neutral,neutral,Neutral,95,1,96,0.0002475
46,P1_zero_shot,mismatched,"In part, that is attributable to the designation of his correspondents, who keep him informed on language that is not within earshot, as the  Lexicographic Irregulars,  an amusing reference the first time or two it was used but now beginning to cloy.",The designation of the correspondents has become repetitive and cliche.,verbatim,entailment,entailment,Entailment,107,3,110,0.0002975
47,P1_zero_shot,mismatched,"The history, culture, and body of beliefs from which Bin Ladin has shaped and spread his message are largely unknown to many Americans.","Many Americans do not know the history, culture and body of beliefs Bin Ladin has used for his message, however they are more than willing to dissect it and find out.",nineeleven,neutral,neutral,Neutral,100,1,101,0.00026
48,P1_zero_shot,mismatched,We are returning to the airport.,We will be going back to where the flight departed from.,nineeleven,entailment,neutral,Neutral,57,1,58,0.0001525
49,P1_zero_shot,mismatched,Everything will be okay.,Everything is not ok.,nineeleven,contradiction,contradiction,Contradiction,48,3,51,0.00015
50,P1_zero_shot,mismatched,Carnegie also describes namma-holes and soaks as sources of water.,Soaks and gnamma-holes are not considered to sources of water.,verbatim,contradiction,contradiction,contradiction,69,3,72,0.0002025
51,P1_zero_shot,mismatched,"The most up-to-date versions of automatic-cutting equipment, including the GERBERcutter, are even more effective.",The GERBERcutter is not the most effective version of automatic-cutting equipment.,oup,neutral,contradiction,Contradiction,79,3,82,0.0002275
52,P1_zero_shot,mismatched,"Feckless ' spiritless, helpless, futile 'is given in all my desk dictionaries, but only Chambers has feck (nice to see a lost positive found), which comes from effect through vowel-loss and is defined as  efficacy  or  quality. ",The word effect originates from the word feck through vowel-loss.,verbatim,entailment,contradiction,Contradiction,104,3,107,0.00029
53,P1_zero_shot,mismatched,"While this was being discussed by executives at FAA headquarters, the Command Center ordered one at 9:25.",The Command Center ordered one at 9:25 PM.,nineeleven,entailment,neutral,Neutral,72,1,73,0.00019
54,P1_zero_shot,mismatched,A valuable seven-week course called COPES [Community Orientation for Expatriate Spouses] introduces the non-employed spouse to day-to-day life and opportunities in central Indiana.,COPES is a seven week course that informs and trains the non-employed spouses.,letters,entailment,entailment,Entailment,89,3,92,0.0002525
55,P1_zero_shot,mismatched,"We use terms like Neanderthal Man, Peking Man , etc., without believing for a moment that there were no Neanderthal or Peking women (leaving aside Peking Toms).",People consider calling Neanderthal Man a sexist term as it doesn't include women,verbatim,neutral,neutral,Neutral,94,1,95,0.000245
56,P1_zero_shot,mismatched,The account description written in 1971 for the Ralph E. McDonald/Pedodontic Fund states Expenditures of the fund shall be approved by the fund committee of six.,Expenditures of the fund have to be approved by a committee of six.,letters,entailment,entailment,Entailment,91,3,94,0.0002575
57,P1_zero_shot,mismatched,Please join us as we continue to rebuild this historic neighborhood into a place of pride and community strength.,We will continue to rebuild the historic neighborhood and reduce the violence we've dealt with lately.,letters,neutral,neutral,Neutral,75,1,76,0.0001975
58,P1_zero_shot,mismatched,There you are.,I don't know where you are.,verbatim,contradiction,contradiction,contradiction,49,3,52,0.0001525
59,P1_zero_shot,mismatched,What were your least favorite parts of the story?,Which parts of the story did you love the most?,facetoface,contradiction,contradiction,contradiction,59,3,62,0.0001775
60,P1_zero_shot,mismatched, By the year 2000.,By the 21st century.,verbatim,entailment,entailment,Entailment,53,3,56,0.0001625
61,P1_zero_shot,mismatched,"I picture muskrats wallowing about in the mire and paddling sluggishly through the water, but I wouldn't call that rambling.",The muskrats were an uncommon sight and an even more uncommon thing to discuss.,verbatim,neutral,neutral,Neutral,83,1,84,0.0002175
62,P1_zero_shot,mismatched,"That same while that I was there at my brother's, we went to look for, the people who owned land, to see if they would give me, pasture land for the animals.",The landlord called the cops on us for trespassing on their land. ,facetoface,contradiction,neutral,neutral,91,1,92,0.0002375
63,P1_zero_shot,mismatched,"If these special children are to become the adults we all need them to be, we have to lead them in the right direction right now.",We need to use the right balance of discipline and praise with these special children. ,letters,neutral,neutral,Neutral,83,1,84,0.0002175
64,P1_zero_shot,mismatched,Uh she had a big garage that was separate from the house and almost bigger than the house it was almost like it was a barn.,The garage she had was nearly as big as her home.,facetoface,entailment,entailment,entailment,77,3,80,0.0002225
65,P1_zero_shot,mismatched,"When you give to Big Sisters, you can get 50 percent back!",Big Sisters does not offer any tax incentives.,letters,contradiction,contradiction,Contradiction,62,3,65,0.000185
66,P1_zero_shot,mismatched,"For the short term, its impact will be on a relatively small niche market.",The impact will be on a large market.,oup,contradiction,contradiction,Contradiction,63,3,66,0.0001875
67,P1_zero_shot,mismatched,"The idea of a domestic command for homeland defense began to be discussed in 1997, and in 1999 the Joint Chiefs developed a concept for the establishment of a domestic Unified Command.",A domestic command is necessary for safety in this new age of terrorism.,nineeleven,neutral,neutral,Neutral,90,1,91,0.000235
68,P1_zero_shot,mismatched,English-types (like us) thrive in an environment that fosters dialogue.,An environment that fosters dialogue is where English-types thrive.,letters,entailment,entailment,Entailment,63,3,66,0.0001875
69,P1_zero_shot,mismatched,"Tacitly, Daly, like most feminists, invokes an earlier, quieter voice, that of Virginia Woolf.",Daly was a friend of Virginia Woolf.,verbatim,neutral,neutral,Neutral,71,1,72,0.0001875
70,P1_zero_shot,mismatched,The program could be an important boon to productivity and competitiveness.,The program could definitely not be important to productivity,oup,contradiction,contradiction,Contradiction,60,3,63,0.0001799999999999
71,P1_zero_shot,mismatched,That message and all subsequent attempts to contact the flight were not acknowledged.,That message was acknowledged with a prompt reply.,nineeleven,contradiction,contradiction,Contradiction,61,3,64,0.0001825
72,P1_zero_shot,mismatched,Consider a study of the relationship of maternal employment to first graders' academic and social competence.,Consider a study of first graders' academic and social skills in relation to their mothers' employment. ,oup,entailment,entailment,Entailment,76,3,79,0.00022
73,P1_zero_shot,mismatched,"Best of all, probably, was the unintentional but unavoidable hilarity roused by Hattie McDaniels, Butterfly McQueen, and Vivien Leigh as they jabbered and squeaked in Japanese about Ashley Wilkes, Mista Rhett, and the fall of Atlanta.",The squeaked in Japanese about how gruesome the fall of Atlanta was.,verbatim,neutral,neutral,Neutral,110,1,111,0.000285
74,P1_zero_shot,mismatched,It scarcely needs pointing out that the British usage was not brought about by any sense of justice toward women but by the apparent fact that the people in Britain are not quite as uptight about usage as the Americans.,The British are less uptight about a woman's body than Americans are. ,verbatim,neutral,neutral,Neutral,95,1,96,0.0002475
75,P1_zero_shot,mismatched,"Sophie turned toward the teddy bear, lifted his paw, and exclaimed,  She wants a lollipop to hold in her hand! ",The teddy bear was holding a lollipop so Sophie asked for one too.,oup,neutral,neutral,Neutral,80,1,81,0.00021
76,P1_zero_shot,mismatched,Children are back in their classrooms enjoying the fun of renewing friendships and activities interrupted by summer vacation.,Children hate being back in their classrooms after summer vacation.,letters,contradiction,contradiction,Contradiction,68,3,71,0.0002
77,P1_zero_shot,mismatched,And what's your major?,What is your least favorite subject?,facetoface,contradiction,neutral,Neutral,50,1,51,0.000135
78,P1_zero_shot,mismatched,What are the most important human needs here in central Indiana?,What are the business needs in central Indiana? ,letters,contradiction,neutral,Neutral,60,1,61,0.0001599999999999
79,P1_zero_shot,mismatched,"One scholar from the fourteenth century from whom Bin Ladin selectively quotes, Ibn Taimiyyah, condemned both corrupt rulers and the clerics who failed to criticize them.",Bin Ladin used the scholars quotes in his writings.,nineeleven,neutral,neutral,Neutral,84,1,85,0.00022
80,P1_zero_shot,mismatched,An Invitation to Sponsor a Bench,The bench will thus belong to the Sponsor.,letters,neutral,neutral,Neutral,54,1,55,0.000145
81,P1_zero_shot,mismatched,"In 1971, he opened is first business, a small New Jersey construction firm.","In 1971, he tried and failed to open a construction firm, and so he gave up his dream of owning a business.",letters,contradiction,contradiction,contradiction,83,3,86,0.0002375
82,P1_zero_shot,mismatched,"Then, too, there have been the campaigners who have gone to what some regard as opposite  if the head of a committee is known to be a man or a woman, then chairman or chairwoman must surely be the proper denotation; if the sex of the person is not known, then chairperson , though awkward-sounding, is the preferred form.",Language must be adapted to a person's gender to avoid causing offense.,verbatim,neutral,neutral,neutral,124,1,125,0.00032
83,P1_zero_shot,mismatched,"Regardless of where Quick Response has succeeded, however, our research indicates that very different time-based competitive demands have emerged in the industry, driven not by voluntary acceptance of policies but by the changing nature of market competition among retailers.",Market competition has caused new competitive demands.,oup,entailment,entailment,Entailment,90,3,93,0.000255
84,P1_zero_shot,mismatched,"These social encounters oer children many opportunities to hear people refer to their own mental states and those of others and, therefore, to observe dierent points of view.",The social encounters give kids a lot of chances to hear people talk about their mental states and how things make them feel.,oup,entailment,entailment,Entailment,94,3,97,0.000265
85,P1_zero_shot,mismatched,"But, um, It's not like I'll never come back and visit or anything like that.",I will never come back and visit. ,facetoface,contradiction,contradiction,contradiction,65,3,68,0.0001925
86,P1_zero_shot,mismatched,"In the Roman Catholic Church, for example, women can function as acolytes (one of the minor orders of the diaconate) but may not be officially installed as acolytes.",Roman Catholic Church was praised for their sexism. ,verbatim,neutral,neutral,Neutral,87,1,88,0.0002275
