idx,prompt,model,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd,reasoning_tokens
0,P1_zero_shot,gpt5,matched,I said it and I'm glad.,I'm glad I said it. ,slate,entailment,neutral,neutral,51,394,445,0.01627,384
1,P1_zero_shot,gpt5,matched,and uh it that takes so much time away from your kids,Leaves you with plenty of time for your kids.,telephone,contradiction,contradiction,contradiction,60,76,136,0.00364,64
2,P1_zero_shot,gpt5,matched,"Most of it, I couldn't even begin to identify.",I didn't nkow what any of it was.,fiction,entailment,neutral,neutral,58,778,836,0.0317,768
3,P1_zero_shot,gpt5,matched,those little kids don't understand it,The younger kids don't understand the more complex assignments they're given. ,telephone,neutral,neutral,neutral,57,266,323,0.01121,256
4,P1_zero_shot,gpt5,matched,"From there, take the road that heads back to the coast and Es Pujols, Formentera's premier resort village.","Formentera's premier resort village has swimming pools, bars and restaurants.",travel,neutral,neutral,neutral,78,74,152,0.00374,64
5,P1_zero_shot,gpt5,matched,oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they play at the dollar movie theater because expensive theaters won't make any money on them,telephone,neutral,neutral,neutral,112,266,378,0.01176,256
6,P1_zero_shot,gpt5,matched,yes that i think that's true so that makes them feel definitely like outsiders but like getting back to the their government benefits they they do have a lot of uh tax benefits,"They definitely feel included, but they don't have any tax benefits. ",telephone,contradiction,contradiction,contradiction,85,76,161,0.0038900000000000002,64
7,P1_zero_shot,gpt5,matched,"The movie isn't clear on where the secret report that kicked off Bergman's interest in tobacco came from, or who in the FDA thought it was a good idea to turn him onto Wigand.",Bergman was turned onto Wigand by the government.,slate,entailment,neutral,neutral,86,2442,2528,0.09854,2432
8,P1_zero_shot,gpt5,matched,oh i don't know either the other growing up all i knew was,When I was 7 the only thing I knew was,telephone,neutral,neutral,neutral,63,1098,1161,0.04455,1088
9,P1_zero_shot,gpt5,matched,"In the Blue Mountain National Park and the John Crow National Park, which together cover 78,200 hectares (193, 200 acres), conservationists are attempting to halt the encroachment of local farmers and loggers.", Blue Mountain National Park and the John Crow National Park together are only 200 acres.,travel,contradiction,contradiction,contradiction,100,140,240,0.0066,128
10,P1_zero_shot,gpt5,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,entailment,entailment,71,268,339,0.011430000000000001,256
11,P1_zero_shot,gpt5,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,neutral,neutral,80,202,282,0.00888,192
12,P1_zero_shot,gpt5,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,neutral,neutral,83,458,541,0.01915,448
13,P1_zero_shot,gpt5,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,contradiction,56,76,132,0.0036,64
14,P1_zero_shot,gpt5,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,neutral,neutral,80,330,410,0.014,320
15,P1_zero_shot,gpt5,matched,"The pope, suggesting that Gen.",Gen is not being suggested in any way.,slate,contradiction,contradiction,contradiction,53,268,321,0.01125,256
16,P1_zero_shot,gpt5,matched,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",This site is a special portal for people who wish to make anonymous complaints about auditors.,government,contradiction,neutral,neutral,84,202,286,0.00892,192
17,P1_zero_shot,gpt5,matched,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is the island's governmental and financial centre. ,travel,entailment,entailment,entailment,77,76,153,0.00381,64
18,P1_zero_shot,gpt5,matched,"I don't know what I would have done without Legal Services, said James. ",James said Legal Services was of no help.,government,contradiction,contradiction,contradiction,62,140,202,0.00622,128
19,P1_zero_shot,gpt5,matched,"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",Hiking trail maps can be obtained at the Government Publications Center.,travel,entailment,entailment,entailment,75,140,215,0.00635,128
20,P1_zero_shot,gpt5,matched,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is a laid-back, quiet, and peaceful city.",travel,entailment,neutral,neutral,72,586,658,0.024159999999999997,576
21,P1_zero_shot,gpt5,matched,was it bad,Was it not good?,telephone,entailment,neutral,neutral,46,970,1016,0.03926,960
22,P1_zero_shot,gpt5,matched,Egg cattle merry wedged marvelous,The cattle were merry.,fiction,entailment,neutral,neutral,49,138,187,0.00601,128
23,P1_zero_shot,gpt5,matched,That's the second time you've made that sort of remark.,That's the second time you've made that sort of remark and I don't need anymore reminders.,fiction,neutral,neutral,neutral,65,138,203,0.00617,128
